年月日,陸の平均気圧(hPa),海の平均気圧(hPa),降水量(mm),平均気温(℃),平均湿度(%),平均風速(m/s),日照時間(h)
2019/1/1,1026.9,1027.5,0.0,6.0,60.0,2.1,8.4
2019/1/2,1026.3,1026.9,0.0,5.7,60.0,1.4,6.3
2019/1/3,1028.4,1029.0,0.0,5.5,59.0,1.6,8.9
2019/1/4,1028.1,1028.7,0.0,7.1,67.0,1.5,6.1
2019/1/5,1019.0,1019.6,0.0,9.9,68.0,1.2,0.8
2019/1/6,1020.8,1021.4,0.0,7.3,61.0,1.8,3.0
2019/1/7,1023.0,1023.6,0.0,6.8,68.0,1.6,8.9
2019/1/8,1020.1,1020.7,0.0,8.0,59.0,1.4,4.1
2019/1/9,1025.0,1025.6,0.0,6.2,49.0,2.0,5.3
2019/1/10,1021.6,1022.2,0.0,7.3,65.0,1.4,0.9
2019/1/11,1020.8,1021.4,0.0,9.0,62.0,1.6,3.3
2019/1/12,1017.4,1018.0,5.0,7.9,88.0,1.2,0.2
2019/1/13,1018.3,1018.9,0.0,8.5,61.0,1.8,9.2
2019/1/14,1022.1,1022.7,0.0,8.0,65.0,1.6,8.6
2019/1/15,1019.1,1019.7,1.0,8.6,75.0,1.5,2.1
2019/1/16,1017.6,1018.2,0.0,6.6,67.0,1.2,1.6
2019/1/17,1017.5,1018.1,0.0,6.1,59.0,1.7,7.0
2019/1/18,1022.7,1023.3,0.0,7.0,59.0,1.4,9.1
2019/1/19,1022.7,1023.3,0.0,7.6,60.0,1.4,9.4
2019/1/20,1013.0,1013.6,0.0,9.7,65.0,1.9,2.7
2019/1/21,1016.0,1016.6,0.0,7.3,55.0,1.5,9.3
2019/1/22,1016.2,1016.8,0.0,6.9,59.0,1.2,9.1
2019/1/23,1016.1,1016.7,0.0,7.4,54.0,1.5,9.5
2019/1/24,1018.4,1019.0,0.0,7.5,55.0,1.7,6.4
2019/1/25,1017.3,1017.9,0.0,7.2,58.0,1.7,9.3
2019/1/26,1015.6,1016.2,0.0,5.7,53.0,2.0,6.0
2019/1/27,1023.1,1023.7,0.0,6.9,45.0,2.0,6.4
2019/1/28,1018.8,1019.4,0.0,6.2,70.0,1.7,4.1
2019/1/29,1023.0,1023.6,0.0,7.6,48.0,2.1,9.3
2019/1/30,1023.7,1024.3,0.0,7.3,65.0,1.5,8.7
2019/1/31,1010.9,1011.5,17.5,8.4,81.0,1.5,0.0
2019/2/1,1017.1,1017.7,0.0,6.7,59.0,1.8,5.9
